ulasan,clean_ulasan
"Aku lihat di tv , di tv sudah ada terus berdoa dan semoga Surabaya ada trans Jatim seperti yang ada di tv (, Jakarta) , akhirnya doa aku terkabul. Saya baru naik bus trans Jatim, bus trans Jawa timur, Aman dan nyaman tidak ada pencurian. Terima kasih ya trans Jatim.",aku lihat di tv di tv sudah ada terus doa dan moga surabaya ada trans jatim seperti yang ada di tv jakarta akhir doa aku kabul saya baru naik bus trans jatim bus trans jawa timur aman dan nyaman tidak ada curi terima kasih ya trans jatim
bus nya lama ya datangnya saya nunggu dari halte tanggulangin sedangkan bus nya banyak berhenti di terminal porong ngak jalan jalan,bus nya lama ya datang saya nunggu dari halte tanggulangin sedang bus nya banyak henti di terminal porong ngak jalan jalan
"Layanan mantap,,murah,bersih,crew ramah,tepat jam brangkat.",layan mantapmurahbersihcrew ramahtepat jam brangkat
Mantap belom pakai aplikasi ini langsung kasih bintang 5 percaya dengan komentar orang,mantap bom pakai aplikasi ini langsung kasih bintang percaya dengan komentar orang
Untuk halte nya tolong dong tambahin di medaeng dan untuk pembayaran nya agak sulit,untuk halte nya tolong dong tambahin di medaeng dan untuk bayar nya agak sulit
"Busnya enak, cuma kalo pas sabtu atau senin pagi penumpang banyak yang tdk tersangkut, mohon pihak management untuk mencari solusi saat jam jam sibuk, kasian mereka jadi terlambat kerja",bus enak cuma kalo pas sabtu atau senin pagi tumpang banyak yang tdk sangkut mohon pihak management untuk cari solusi saat jam jam sibuk kasi mereka jadi lambat kerja
"Klo pagi yg mnju gresik dari halte terminal bungur ditambahkan dunk armada bus nya dan jadwal nya, dan jam operasionalnya dipagiin jam 4 terutama hari senin.",klo pagi yg mnju gresik dari halte terminal bungur tambah dunk armada bus nya dan jadwal nya dan jam operasional dipagiin jam utama hari senin
Ini gimana sih ga ada rute Gresik - Sby kah? Aku nunggu mulai jam 8 malam sampai jam 21.40 ga ada bis yang lewat yang lewat hanya dari sby - Gresik aja yang lewat mau naik di bis itu katanya rute nya berbeda tolong dong ini orang banyak yang nunggu bikin kecewa aja nunggu malam2 juga. Katanya rute terakhir jam 21.00 tetapi aku nunggu mulai jam 20.00 gada bis arah sby lewat adanya dari sby ke Gresik aja,ini gimana sih ga ada rute gresik sby kah aku nunggu mulai jam malam sampai jam ga ada bis yang lewat yang lewat hanya dari sby gresik aja yang lewat mau naik di bis itu kata rute nya beda tolong dong ini orang banyak yang nunggu bikin kecewa aja nunggu malam juga kata rute akhir jam tetapi aku nunggu mulai jam gada bis arah sby lewat ada dari sby ke gresik aja
Nyaman dan mudah,nyaman dan mudah
"sya merasa keberatan dengan konektur trans jatim, seharusnya ketika nyampai di halte, yg pertama dulu dahulukan naik bkan yg bru datang.",sya rasa berat dengan konektur trans jatim harus ketika nyampai di halte yg pertama dulu dahulu naik bkan yg bru datang
Bos tolong Utuk halte Romokalisari kpn dibangun .....,bos tolong utuk halte romokalisari kpn bangun
Didownload 99% lalu batal. Ntah servernya gimn.,didownload lalu batal ntah servernya gimn
fungsi 2 kursi biru untuk apa ya?,fungsi kursi biru untuk apa ya
"Semoga rutenya di tambah sampai di kota tuban,walaupun sampai terminal tuban tak apa",moga rute di tambah sampai di kota tubanwalaupun sampai terminal tuban tak apa
Keren,keren
Keren,keren
Ajib,ajib
Sangat memudahkan untuk para pekerja di sidoarjo-gresik. Masukan kedepannya semoga bisa bayar via e-money / indomaret card / flazz bca.,sangat mudah untuk para kerja di sidoarjogresik masuk depan moga bisa bayar via emoney indomaret card flazz bca
Sepertinya belum ada survei krn di lapangan belum siap mengakomodir animo penumpang,seperti belum ada survei krn di lapang belum siap mengakomodir animo tumpang
Mohon sbtu/minggu armada d tambahin karna tiap halte d batesi 1 ato 2orng untuk msuk bis,mohon sbtuminggu armada d tambahin karna tiap halte d batesi ato orng untuk msuk bis
"Terima kasih pemprov Jatim. Saya harap ditambahkan pemberhentian di mayjend sungkono (halte taman makam pahlawan) dan pasar turi, kan tidak jauh dari pintu keluar tol. Supaya dapat terintegrasi dengan suroboyo bus/semanggi, sehingga warga surabaya timur, barat dan utara dapat menjangkau, tidak harus ke bungurasih dulu. Mohon dipertimbangkan",terima kasih pemprov jatim saya harap tambah henti di mayjend sungkono halte taman makam pahlawan dan pasar turi kan tidak jauh dari pintu keluar tol supaya dapat integrasi dengan suroboyo bussemanggi sehingga warga surabaya timur barat dan utara dapat jangkau tidak harus ke bungurasih dulu mohon timbang
"Tolong diperbanyak pilihan pembayarannya seperti pakek etoll, qris, dll.",tolong banyak pilih bayar seperti pakek etoll qris dll
sangat sangat membantu terima kasih transjatim semoga lancar,sangat sangat bantu terima kasih transjatim moga lancar
"aplikasinya bagus mudah digunakan. busnya juga nyaman, aman & tepat waktu. tolong untuk top up dipermudah bisa top up via ovo, dana, gopay, shopeepay, atm bank, mobile banking. untuk kedepannya agar semua wilayah gerbangkertosusila (gresik,bangkalan,mojokerto,surabaya,sidoarjo,lamongan) bisa terkoneksi dengan bus transjatim ini utk mempermudah warga yg beraktifitas di metropolitan tersebut.",aplikasi bagus mudah guna bus juga nyaman aman tepat waktu tolong untuk top up mudah bisa top up via ovo dana gopay shopeepay atm bank mobile banking untuk depan agar semua wilayah gerbangkertosusila gresikbangkalanmojokertosurabayasidoarjolamongan bisa koneksi dengan bus transjatim ini utk mudah warga yg beraktifitas di metropolitan sebut
KENAPA GK DARI DULU ADA GINIAN,kenapa gk dari dulu ada ginian
Belum mencoba. Tp bakalan mencoba untuk antar ke kampus gresik. Jadi tidak perlu berangkat motoran sendiri. Semoga nyaman dan semakin bertambah. Sukses terus trans jatim,belum coba tp bakal coba untuk antar ke kampus gresik jadi tidak perlu berangkat motor sendiri moga nyaman dan makin tambah sukses terus trans jatim
Kalau pembayarannya udah pakek dana / ovo baru aku kasih bintang 5,kalau bayar udah pakek dana ovo baru aku kasih bintang
Suasana nya nyaman petugasnya ramah . Anak saya yg autism merasa nyaman naik bis ini semoga kedepannya pelayaannya akan selalu lebih baik 🙏,suasana nya nyaman tugas ramah anak saya yg autism rasa nyaman naik bis ini moga depan pelayaannya akan selalu lebih baik
Semoga semakin ramai penumpang dan mengurangi kemacetan di jalan. Kalo bisa ada untuk jurusan krian- mojosari-mojokerto,moga makin ramai tumpang dan kurang macet di jalan kalo bisa ada untuk jurus krian mojosarimojokerto
"Bagus banget bisa memantau kedatangan bus, kurangnya mungkin diperbanyak lagi titik henti haltenya",bagus banget bisa pantau datang bus kurang mungkin banyak lagi titik henti halte
Bus nya bagus pelayanan oke supir ramah tapi sayang saat di pemberhentian terakhir kurang terkoordinir.. Penumpang seperti diterlantarkan harus menunggu 3 sampek jam untuk jalan balik.... Gimana penanggung jawabnya ini,bus nya bagus layan oke supir ramah tapi sayang saat di henti akhir kurang terkoordinir tumpang seperti lantar harus tunggu sampek jam untuk jalan balik gimana tanggung jawab ini
"Khusus sabtu minggu tolong berangkat dari terminal posisi bus kosong, karena disetiap halte rata2 ada yang naik, kasihan kalau berdiri, apalagi bawa anak kecil. Terimakasih",khusus sabtu minggu tolong berangkat dari terminal posisi bus kosong karena tiap halte rata ada yang naik kasihan kalau diri apalagi bawa anak kecil terimakasih
"Aplikasi ok bisa tracking bis cuma kalau dibikin tempat pembayaran kurang karena jelas kalah Ama uang elektronik lain kecuali ada bonusnya seperti diskon atau yang lain, trus logo APKnya kalau bisa di perbarui kayak bis GENTAYANGAN menghantui hp saya",aplikasi ok bisa tracking bis cuma kalau bikin tempat bayar kurang karena jelas kalah ama uang elektronik lain kecuali ada bonus seperti diskon atau yang lain trus logo apknya kalau bisa di baru kayak bis gentayang hantu hp saya
Alhamdulillah sip..gak macet lagi tp ya berangkat tetep pagii,alhamdulillah sipgak macet lagi tp ya berangkat tetep pagi
Kalau bisa metode pembayaran ditambah lagi,kalau bisa metode bayar tambah lagi
kalau ada bintang 10 saya kasihkan semua. siip josss sangat membantu warga..mengurai kemacetan tujuan utamanya.. murah.. ramah lingkungan.. apl nya josss.. ada update lokasi terkini real time via google maps.. Ini solusi hebat dalam transportasi.. moga2 bisa di tiru di kota2 lainnya yang rawan macet... Tetap Semangat...,kalau ada bintang saya kasih semua siip josss sangat bantu wargamengurai macet tuju utama murah ramah lingkung apl nya josss ada update lokasi kini real time via google maps ini solusi hebat dalam transportasi moga bisa di tiru di kota lain yang rawan macet tetap semangat
Program ini sangat bermanfaat bagi masyarakat 👍,program ini sangat manfaat bagi masyarakat
Coba tulis semua Alamat halte biar semua tau.... turun di mana naik di mana.,coba tulis semua alamat halte biar semua tau turun di mana naik di mana
Baru download 😅,baru download
😁😎,
Sngat membantu busnya bersih dan ad Ac ...,sngat bantu bus bersih dan ad ac
Cara beli tiket astrapay gimana caranya??,cara beli tiket astrapay gimana cara
"Tolong dong min. Metode pembayaranya di banyakin. Seperti link aja. Ovo, go pay, e money dll. Biar makin mudah untuk bertransaksi. Terimakasih",tolong dong min metode pembayaranya di banyakin seperti link aja ovo go pay e money dll biar makin mudah untuk transaksi terimakasih
👍👍👍👍 Bersyukur diberi kemudahan transportasi. Kok ya masih ada yang memberi bintang satu ya.,syukur beri mudah transportasi kok ya masih ada yang beri bintang satu ya
"Lampu interior bus dimatikan.Driver harus ditraining lagi.Bus no 5,Selasa jam 7.59",lampu interior bus dimatikandriver harus ditraining lagibus no selasa jam
Tolong lampu halte klo malam gelap saya lihat di jl veteran gresik,tolong lampu halte klo malam gelap saya lihat di jl veteran gresik
Kenapa gabisa terinstal di hp sya,kenapa gabisa terinstal di hp sya
"Tolong untuk metode pembayaran non tunai diperbanyak lagi pilihannya kayak DANA, OVO, LINK dan Qris berbagai macam bank",tolong untuk metode bayar non tunai banyak lagi pilih kayak dana ovo link dan qris bagai macam bank
Coba kalo sistemnya bisa kayak surabaya bus gitu ada halte halte di pinggir jalan dan rutenya bisa di perluas lagi mungkin masuk area gresik selatan seperti menganti mengarah ke Surabaya karena di menganti banyak mayoritas yang kerja dan sekolah di Surabaya juga,coba kalo sistem bisa kayak surabaya bus gitu ada halte halte di pinggir jalan dan rute bisa di luas lagi mungkin masuk area gresik selatan seperti anti arah ke surabaya karena di anti banyak mayoritas yang kerja dan sekolah di surabaya juga
Semoga bs nambah rute yaaa biar lebih luas jangkauannnya,moga bs nambah rute yaaa biar lebih luas jangkauannnya
Nyuwun tolong di tambah rute lagi agar melewati jalur kota surabaya karena saya domisili kenjeran kerja pp bunder gresik tiap hari ingin menggunakan trans jatim tetapi tidak ada halte yg dekat dengan rumah saya demikian masukan dari saya terimakasih atas perhatiannya,nyuwun tolong di tambah rute lagi agar lewat jalur kota surabaya karena saya domisili kenjeran kerja pp bunder gresik tiap hari ingin guna trans jatim tetapi tidak ada halte yg dekat dengan rumah saya demikian masuk dari saya terimakasih atas perhati
"Terimakasih pemprov jatim, dg adanya jalur ini sangat membantu kami dlm perjalanan, murah, mudah dan nyaman🙏",terimakasih pemprov jatim dg ada jalur ini sangat bantu kami dlm jalan murah mudah dan nyaman
Kapan di buka koridor Gresik Mojokerto...saya kerja daerah sepanjang ..rumah gresik,kapan di buka koridor gresik mojokertosaya kerja daerah panjang rumah gresik
Semoga tambah banyak rutenya biar gak macet surabaya.dan paling penting perjalanan aman dan terjangkau.,moga tambah banyak rute biar gak macet surabayadan paling penting jalan aman dan jangkau
Kenapa harus pake nama ajaib sih? Norak banget.,kenapa harus pake nama ajaib sih norak banget
"Tolong jurusan stadion GBT juga terjamah dong, khususnya jurang kuping benowo sememi manukan, matur suwun",tolong jurus stadion gbt juga jamah dong khusus jurang kuping benowo mem manuk matur suwun
"Dengan adanya Trans jatim ini,saya rasa semua masyarakat akan merasa terbantu karena dengan jarak porong-bungurasih-gresik dengan tarif yang sangat terjangkau. Semoga trans jatim maju terus dan sukses selalu!",dengan ada trans jatim inisaya rasa semua masyarakat akan rasa bantu karena dengan jarak porongbungurasihgresik dengan tarif yang sangat jangkau moga trans jatim maju terus dan sukses selalu
Sangat mudah mendonloud aplikasinya..,sangat mudah mendonloud aplikasi
Transportasi terinterkoneksi salah satu solusi kemacetan,transportasi interkoneksi salah satu solusi macet
"T.O.P Bangeet 👍 Semoga semakin bertambah jumlah koridor nya. ☺️🙏 Mudah2an untuk berikutnya ada halte yang posisi nya dekat dengan terminal / stasiun / pusat perbelanjaan, sehingga mudah jika akan oper dengan transortasi lainnya. ☺️🙏 Terima kasih ☺️🙏🙏 Trans Jatim mantaab 👍👍",top bangeet moga makin tambah jumlah koridor nya mudah untuk ikut ada halte yang posisi nya dekat dengan terminal stasiun pusat belanja sehingga mudah jika akan oper dengan transortasi lain terima kasih trans jatim mantaab
Sangat membantu sekali. Semoga kedepannya lebih maju dan tidak lewat tol agar Warga yg rumahnya dilewati jalan Gresik-Sidoarjo bisa naik lewat Halte .,sangat bantu sekali moga depan lebih maju dan tidak lewat tol agar warga yg rumah lewat jalan gresiksidoarjo bisa naik lewat halte
"Untuk sememtara mantabh dan pertahankan, bus nya safety.. Ada sensor peringatan berkendara, dingin, pramugarinya ramah, supirnya berkendara dengan baik.. (Bus no 16)",untuk sememtara mantabh dan tahan bus nya safety ada sensor ingat kendara dingin pramugari ramah supirnya kendara dengan baik bus no
Mantappppppp... next koridor mlg raya..,mantappppppp next koridor mlg raya
"Pembayaran pake metode lain dong.. Gopay, shoppe pay, link aja, ovo, dana, dll",bayar pake metode lain dong gopay shoppe pay link aja ovo dana dll
"Klo bisa rute masuk ke terminal joyoboyo,kemudian masuk tol lewat gate tol mastrip untuk menjembatani masyarakat yg ingin ke kebon binatang",klo bisa rute masuk ke terminal joyoboyokemudian masuk tol lewat gate tol mastrip untuk jembatan masyarakat yg ingin ke kebon binatang
"Dengan adanya TransJatim membuat mobilitas di area Sidoarjo, Surabaya, Gresik menjadi lebih mudah dan murah",dengan ada transjatim buat mobilitas di area sidoarjo surabaya gresik jadi lebih mudah dan murah
"Sangat apresiasi dengan adanya bus trans jatim ini , semoga kedepannya dipertahankan dan bus trans jatim menjadi transportasi utama di Surabaya raya, aplikasi juga sangat lengkap dan sangat futuristik",sangat apresiasi dengan ada bus trans jatim ini moga depan tahan dan bus trans jatim jadi transportasi utama di surabaya raya aplikasi juga sangat lengkap dan sangat futuristik
Cocok untuk saya yang takut bawa kendaraan pribadi 🤗,cocok untuk saya yang takut bawa kendara pribadi
"Sangat betmanfaat.. semoga banyak peminatnya.. Terima kasih pemprov Jatim Oh iya, menu beli tiket belum tersambung dg Astra pay ya ? Salam..",sangat betmanfaat moga banyak minat terima kasih pemprov jatim oh iya menu beli tiket belum sambung dg astra pay ya salam
Dg hadirnya Trans jatim sangat membantu mobilitas masyarakat khususnya dari arah porong-bungurasih- gresik dgn tarif yg sangat murah sekali 👍 semoga lekas di tambahkan koridor koridor berikutnya bahkan seluruh Jawa Timur ada trans jatim 😂,dg hadir trans jatim sangat bantu mobilitas masyarakat khusus dari arah porongbungurasih gresik dgn tarif yg sangat murah sekali moga lekas di tambah koridor koridor ikut bahkan seluruh jawa timur ada trans jatim
"Izin untuk ditambah kan pembayaran seperti dana atau link aja, dan membuka sampai ke malang 😁",izin untuk tambah kan bayar seperti dana atau link aja dan buka sampai ke malang
Dari gresik ke sidoarjo mulai jam brp min ? Kok hanya ada dari sidoarjo ke gresik saja ya min ?,dari gresik ke sidoarjo mulai jam brp min kok hanya ada dari sidoarjo ke gresik saja ya min
Semoga melewati buduran Gedangan sampai masuk tol waru Romokalisari,moga lewat budur gedang sampai masuk tol waru romokalisari
Semoga jalur bisa sampek alun² Sidayu gresik,moga jalur bisa sampek alun sidayu gresik
"Smoga kedepanya melewati semua jalan utama di Gresik, Surabaya dan Sidoarjo..",smoga depa lewat semua jalan utama di gresik surabaya dan sidoarjo
"Sy sangat mendukung adanya trans jatim,",sy sangat dukung ada trans jatim
Sangat membantu dan mempermudah penumpang Trans Jatim,sangat bantu dan mudah tumpang trans jatim
Semoga bermanfaat bagi warga Jawa timur khususnya Surabaya raya.,moga manfaat bagi warga jawa timur khusus surabaya raya
